dataset,variant,n,accuracy,precision,recall,f1,asr,latency_ms,roc_auc,pr_auc,hitl_rate,selected_w1,selected_w2,selected_w3,selected_theta,selected_delta
D1_test,full_sentra_guard_optimized,35315,0.8941243097833782,0.4461587913854066,0.40775558166862513,0.4260936300844206,0.5922444183313749,18.719929214809536,0.765251179092733,0.39831167541406576,0.08523290386521308,0.35,0.5,0.15,0.35,0.08
D2_heldout,full_sentra_guard_optimized,10000,0.6877,0.8905534748231377,0.428,0.578143995677428,0.572,19.011584166900143,0.7923138599999999,0.7946179585341309,0.1659,0.35,0.5,0.15,0.35,0.08
